GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
73,-6770.00,-223733.80,0.40,0.24,2484.00,0.00,0.00,3.00,14.00
74,-6770.00,-207308.50,0.45,0.24,2717.00,0.00,0.00,4.00,16.00
75,-6770.00,-248224.80,0.25,0.24,3681.00,0.00,0.00,2.00,17.00
76,-6770.00,-216689.50,0.35,0.25,3831.00,0.00,0.00,4.00,16.00
77,-6770.00,-189847.00,0.45,0.51,3707.00,0.00,0.00,4.00,16.00
78,-6770.00,-218815.80,0.35,0.26,4980.00,0.00,0.00,2.00,16.00
79,-6770.00,-252110.30,0.30,0.24,2750.00,0.00,0.00,2.00,17.00
80,-6770.00,-239530.00,0.30,0.27,2474.00,0.00,0.00,2.00,18.00
81,-6770.00,-189201.00,0.50,0.24,3779.00,0.00,0.00,4.00,15.00
82,-6770.00,-242281.50,0.25,0.25,5287.00,0.00,0.00,3.00,17.00
83,-6770.00,-235835.30,0.30,0.27,3515.00,0.00,0.00,2.00,19.00
84,-6770.00,-260479.30,0.30,0.24,2916.00,0.00,0.00,2.00,13.00
85,-6770.00,-292078.50,0.20,0.21,889.00,0.00,0.00,2.00,14.00
86,-6770.00,-227145.50,0.35,0.24,1865.00,0.00,0.00,4.00,18.00
87,-6770.00,-190341.50,0.50,0.24,3140.00,0.00,0.00,3.00,16.00
88,-6770.00,-254513.30,0.20,0.25,2879.00,0.00,0.00,2.00,16.00
89,-6770.00,-258270.50,0.25,0.24,3974.00,0.00,0.00,2.00,13.00
90,-6770.00,-229581.50,0.35,0.25,1681.00,0.00,0.00,3.00,13.00
91,-6770.00,-208981.80,0.40,0.26,3675.00,0.00,0.00,4.00,17.00
92,-6770.00,-215461.30,0.40,0.25,3143.00,0.00,0.00,3.00,16.00
93,-6770.00,-229975.00,0.35,0.28,2375.00,0.00,0.00,3.00,14.00
94,-6770.00,-191188.50,0.45,0.26,3300.00,0.00,0.00,3.00,15.00
95,-6770.00,-202538.00,0.45,0.50,2638.00,0.00,0.00,4.00,14.00
96,-6770.00,-180842.00,0.55,0.22,2140.00,0.00,0.00,4.00,17.00
97,-6770.00,-190401.80,0.45,0.27,4102.00,0.00,0.00,4.00,16.00
98,-6770.00,-187423.80,0.50,0.24,2155.00,0.00,0.00,4.00,16.00
99,-6770.00,-270991.00,0.25,0.22,1089.00,0.00,0.00,2.00,13.00
