GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,-298490.00,4.39,35.38,20.43,33.84,5.06,36.95,37.83,37.39,13.78,5.94,23.75,0.75,30.31,21.36
1,-297630.00,4.89,35.53,15.67,33.59,9.20,13.69,31.48,40.00,14.92,5.60,22.13,0.00,18.73,20.63
2,-297325.00,0.00,40.00,4.38,35.48,33.48,40.00,37.07,39.24,0.00,0.00,10.91,0.00,27.55,17.02
3,-297325.00,0.00,40.00,4.38,35.48,33.48,40.00,37.07,39.24,0.00,0.00,10.91,0.00,27.55,17.02
4,-297325.00,0.00,40.00,4.38,35.48,33.48,40.00,37.07,39.24,0.00,0.00,10.91,0.00,27.55,17.02
5,-297105.00,0.00,33.75,11.26,16.29,0.00,40.00,40.00,40.00,0.00,8.82,15.45,16.09,21.79,17.46
6,-297105.00,0.00,33.75,11.26,16.29,0.00,40.00,40.00,40.00,0.00,8.82,15.45,16.09,21.79,17.46
7,-297105.00,0.00,33.75,11.26,16.29,0.00,40.00,40.00,40.00,0.00,8.82,15.45,16.09,21.79,17.46
8,-297105.00,0.00,33.75,11.26,16.29,0.00,40.00,40.00,40.00,0.00,8.82,15.45,16.09,21.79,17.46
9,-297105.00,0.00,33.75,11.26,16.29,0.00,40.00,40.00,40.00,0.00,8.82,15.45,16.09,21.79,17.46
10,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
11,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
12,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
13,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
14,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
15,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
16,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
17,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
18,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
19,-297005.00,5.13,40.00,26.36,37.34,7.44,24.97,40.00,38.56,0.00,10.05,39.57,7.00,33.19,9.75
20,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
21,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
22,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
23,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
24,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
25,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
26,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
27,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
28,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
29,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
30,-296905.00,2.71,31.94,32.55,37.03,13.60,35.96,27.81,40.00,0.00,6.71,40.00,0.00,23.60,29.10
31,-296880.00,0.93,37.33,18.05,40.00,0.00,29.60,40.00,40.00,0.00,9.17,0.00,18.33,40.00,30.66
32,-296880.00,0.93,37.33,18.05,40.00,0.00,29.60,40.00,40.00,0.00,9.17,0.00,18.33,40.00,30.66
33,-296880.00,0.93,37.33,18.05,40.00,0.00,29.60,40.00,40.00,0.00,9.17,0.00,18.33,40.00,30.66
34,-296880.00,0.93,37.33,18.05,40.00,0.00,29.60,40.00,40.00,0.00,9.17,0.00,18.33,40.00,30.66
