GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,4820.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
1,7760.00,6.30,11.80,6.65,20.63,25.50,38.49,25.64,26.36,19.14,10.72,10.36,37.63,12.14,29.03
2,7760.00,6.30,11.80,6.65,20.63,25.50,38.49,25.64,26.36,19.14,10.72,10.36,37.63,12.14,29.03
3,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
4,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
5,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
6,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
7,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
8,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
9,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
10,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
11,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
12,11040.00,25.89,16.42,25.86,26.60,0.00,39.97,30.60,14.49,39.86,10.66,16.75,30.16,14.20,40.00
13,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
14,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
15,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
16,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
17,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
18,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
19,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
20,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
21,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
22,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
23,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
24,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
25,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
26,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
27,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
28,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
29,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
30,62400.00,26.72,0.00,40.00,33.51,25.00,21.37,17.76,18.01,8.43,12.87,1.18,40.00,32.04,22.02
31,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
32,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
33,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
34,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
35,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
36,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
37,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
38,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
39,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
40,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
41,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
42,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
43,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
44,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
45,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
46,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
47,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
48,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
49,87680.00,37.60,40.00,3.96,11.91,16.95,40.00,40.00,6.43,4.60,0.00,39.60,40.00,34.04,32.82
