GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,36125.00,4.39,35.38,20.43,33.84,5.06,36.95,37.83,37.39,13.78,5.94,23.75,0.75,30.31,21.36
1,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
2,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
3,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
4,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
5,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
6,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
7,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
8,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
9,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
10,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
11,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
12,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
13,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
14,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
15,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
16,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
17,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
18,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
19,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
20,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
21,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
22,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
23,99850.00,22.90,40.00,22.55,40.00,23.48,39.57,40.00,18.61,29.18,3.07,40.00,8.23,23.92,11.32
24,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
25,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
26,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
27,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
28,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
29,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
30,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
31,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
32,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
33,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
34,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
35,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
36,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
37,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
38,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
39,110900.00,2.59,27.05,31.35,39.35,32.28,40.00,32.77,40.00,9.72,5.80,40.00,0.00,40.00,32.84
40,124150.00,3.47,12.29,22.44,40.00,22.84,37.83,40.00,25.96,19.73,40.00,38.14,0.00,34.58,26.19
41,124150.00,3.47,12.29,22.44,40.00,22.84,37.83,40.00,25.96,19.73,40.00,38.14,0.00,34.58,26.19
42,124150.00,3.47,12.29,22.44,40.00,22.84,37.83,40.00,25.96,19.73,40.00,38.14,0.00,34.58,26.19
43,124150.00,3.47,12.29,22.44,40.00,22.84,37.83,40.00,25.96,19.73,40.00,38.14,0.00,34.58,26.19
44,124150.00,3.47,12.29,22.44,40.00,22.84,37.83,40.00,25.96,19.73,40.00,38.14,0.00,34.58,26.19
45,142950.00,0.48,33.27,39.20,20.00,40.00,40.00,40.00,40.00,9.82,37.14,39.54,2.02,17.54,23.77
46,142950.00,0.48,33.27,39.20,20.00,40.00,40.00,40.00,40.00,9.82,37.14,39.54,2.02,17.54,23.77
47,142950.00,0.48,33.27,39.20,20.00,40.00,40.00,40.00,40.00,9.82,37.14,39.54,2.02,17.54,23.77
48,142950.00,0.48,33.27,39.20,20.00,40.00,40.00,40.00,40.00,9.82,37.14,39.54,2.02,17.54,23.77
49,142950.00,0.48,33.27,39.20,20.00,40.00,40.00,40.00,40.00,9.82,37.14,39.54,2.02,17.54,23.77
