GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,0.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
1,0.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
2,0.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
3,68330.00,8.49,16.44,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.71,18.27,38.16,19.88,37.31
4,68330.00,8.49,16.44,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.71,18.27,38.16,19.88,37.31
5,68330.00,8.49,16.44,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.71,18.27,38.16,19.88,37.31
6,68330.00,8.49,16.44,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.71,18.27,38.16,19.88,37.31
7,68330.00,8.49,16.44,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.71,18.27,38.16,19.88,37.31
8,68330.00,8.49,16.44,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.71,18.27,38.16,19.88,37.31
9,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
10,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
11,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
12,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
13,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
14,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
15,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
16,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
17,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
18,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
19,72570.00,2.85,40.00,0.00,25.00,29.17,40.00,14.19,30.39,7.34,33.97,40.00,40.00,15.03,40.00
