GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,29897.00,4361.39,0.06,11.55,0.00,0.00,0.00,0.00,0.00
1,29897.00,3400.32,0.00,6.17,0.00,0.00,0.00,0.00,0.00
2,29897.00,2690.28,0.00,5.76,0.00,0.00,0.00,0.00,0.00
3,30186.50,5497.02,0.04,6.09,0.00,0.00,0.00,0.00,0.00
4,142090.00,6572.05,0.02,5.38,0.00,0.00,0.00,0.00,0.00
5,142090.00,7164.31,0.08,5.54,0.00,0.00,0.00,0.00,0.00
6,142090.00,8410.56,0.00,5.78,0.00,0.00,0.00,0.00,0.00
7,142090.00,9405.64,0.06,6.10,0.00,0.00,0.00,0.00,0.00
8,164212.00,9872.37,0.04,6.34,0.00,0.00,0.00,0.00,0.00
9,164212.00,4992.92,0.00,5.92,0.00,0.00,0.00,0.00,0.00
10,237580.00,16527.94,0.06,5.70,0.00,0.00,0.00,0.00,0.00
11,237580.00,10340.50,0.08,5.35,0.00,0.00,0.00,0.00,0.00
12,237580.00,5011.41,0.04,5.24,0.00,0.00,0.00,0.00,0.00
13,237580.00,7142.00,0.02,5.74,0.00,0.00,0.00,0.00,0.00
14,237580.00,6950.68,0.00,5.63,0.00,0.00,0.00,0.00,0.00
15,237580.00,5893.04,0.00,6.00,0.00,0.00,0.00,0.00,0.00
16,237580.00,6006.95,0.04,5.53,0.00,0.00,0.00,0.00,0.00
17,237580.00,9921.94,0.06,6.19,0.00,0.00,0.00,0.00,0.00
18,269986.00,13926.38,0.02,5.75,0.00,0.00,0.00,0.00,0.00
19,269986.00,12645.01,0.02,5.44,0.00,0.00,0.00,0.00,0.00
20,269986.00,9424.82,0.04,5.67,0.00,0.00,0.00,0.00,0.00
21,323102.00,14041.80,0.00,6.40,0.00,0.00,0.00,0.00,0.00
22,323102.00,7988.48,0.00,5.87,0.00,0.00,0.00,0.00,0.00
23,323102.00,8539.71,0.02,5.57,0.00,0.00,0.00,0.00,0.00
24,323102.00,7490.52,0.02,5.58,0.00,0.00,0.00,0.00,0.00
25,323102.00,15822.11,0.02,5.72,0.00,0.00,0.00,0.00,0.00
26,323102.00,11920.80,0.00,5.86,0.00,0.00,0.00,0.00,0.00
27,323102.00,16380.40,0.02,5.41,0.00,0.00,0.00,0.00,0.00
28,323102.00,13220.12,0.02,5.91,0.00,0.00,0.00,0.00,0.00
29,323102.00,5802.33,0.02,5.77,0.00,0.00,0.00,0.00,0.00
30,323102.00,15165.60,0.00,6.25,0.00,0.00,0.00,0.00,0.00
31,323102.00,16561.67,0.04,5.26,0.00,0.00,0.00,0.00,0.00
32,323102.00,10363.98,0.02,5.63,0.00,0.00,0.00,0.00,0.00
33,323102.00,9106.90,0.02,5.53,0.00,0.00,0.00,0.00,0.00
34,323102.00,7280.23,0.02,5.29,0.00,0.00,0.00,0.00,0.00
35,323102.00,8732.32,0.00,5.56,0.00,0.00,0.00,0.00,0.00
36,323102.00,17368.09,0.02,5.59,0.00,0.00,0.00,0.00,0.00
37,323102.00,15609.63,0.08,5.43,0.00,0.00,0.00,0.00,0.00
38,323102.00,11531.99,0.04,5.36,0.00,0.00,0.00,0.00,0.00
39,323102.00,10705.21,0.02,5.90,0.00,0.00,0.00,0.00,0.00
40,323102.00,10540.28,0.02,5.31,0.00,0.00,0.00,0.00,0.00
41,323102.00,14962.78,0.06,5.64,0.00,0.00,0.00,0.00,0.00
42,323102.00,15683.15,0.04,5.39,0.00,0.00,0.00,0.00,0.00
43,323102.00,10388.75,0.06,5.36,0.00,0.00,0.00,0.00,0.00
44,323102.00,10266.56,0.04,6.13,0.00,0.00,0.00,0.00,0.00
45,323102.00,8556.33,0.06,5.95,0.00,0.00,0.00,0.00,0.00
46,323102.00,11426.42,0.06,5.38,0.00,0.00,0.00,0.00,0.00
47,323102.00,6815.84,0.04,6.26,0.00,0.00,0.00,0.00,0.00
48,323102.00,10440.19,0.02,5.34,0.00,0.00,0.00,0.00,0.00
49,323102.00,15463.01,0.06,5.31,0.00,0.00,0.00,0.00,0.00
