GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,33515.50,2.18,33.29,32.91,11.11,10.21,36.26,37.18,13.24,10.53,39.60,0.64,28.48,27.29,10.43
1,39522.50,2.76,33.04,30.85,13.46,10.48,35.85,36.24,16.13,9.50,38.53,1.78,27.53,28.79,10.58
2,39843.50,0.00,24.86,27.99,25.54,13.41,39.20,40.00,1.83,0.63,40.00,3.70,40.00,29.98,16.56
3,39843.50,0.00,24.86,27.99,25.54,13.41,39.20,40.00,1.83,0.63,40.00,3.70,40.00,29.98,16.56
4,39843.50,0.00,24.86,27.99,25.54,13.41,39.20,40.00,1.83,0.63,40.00,3.70,40.00,29.98,16.56
5,43806.50,0.00,33.87,40.00,4.21,24.01,29.32,36.42,1.97,19.40,0.00,19.88,29.31,9.72,0.00
