GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,7460.00,39.48,18.19,0.35,39.68,33.12,20.12,22.68,29.31,26.81,3.87,17.02,39.22,33.30,5.86
1,118540.00,40.00,22.44,7.82,40.00,24.79,25.22,28.62,30.33,24.29,4.81,12.74,40.00,31.05,10.90
2,118540.00,40.00,22.44,7.82,40.00,24.79,25.22,28.62,30.33,24.29,4.81,12.74,40.00,31.05,10.90
3,140520.00,40.00,21.36,4.09,40.00,33.05,35.61,28.59,21.31,23.01,9.63,22.64,40.00,35.05,5.64
4,140520.00,40.00,21.36,4.09,40.00,33.05,35.61,28.59,21.31,23.01,9.63,22.64,40.00,35.05,5.64
5,140520.00,40.00,21.36,4.09,40.00,33.05,35.61,28.59,21.31,23.01,9.63,22.64,40.00,35.05,5.64
6,2087360.00,13.67,31.48,8.34,33.84,39.59,18.81,1.54,30.08,31.02,17.82,2.15,38.57,35.73,0.00
7,2087360.00,13.67,31.48,8.34,33.84,39.59,18.81,1.54,30.08,31.02,17.82,2.15,38.57,35.73,0.00
8,2087360.00,13.67,31.48,8.34,33.84,39.59,18.81,1.54,30.08,31.02,17.82,2.15,38.57,35.73,0.00
9,2087360.00,13.67,31.48,8.34,33.84,39.59,18.81,1.54,30.08,31.02,17.82,2.15,38.57,35.73,0.00
