GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,27450.00,39.48,18.19,0.35,39.68,33.12,20.12,22.68,29.31,26.81,3.87,17.02,39.22,33.30,5.86
1,79800.00,33.47,21.52,10.00,38.27,32.08,20.44,30.80,28.15,33.59,25.28,20.66,40.00,31.50,6.39
2,79800.00,33.47,21.52,10.00,38.27,32.08,20.44,30.80,28.15,33.59,25.28,20.66,40.00,31.50,6.39
3,79800.00,33.47,21.52,10.00,38.27,32.08,20.44,30.80,28.15,33.59,25.28,20.66,40.00,31.50,6.39
4,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
5,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
6,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
7,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
8,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
9,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
10,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
11,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
12,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
13,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
14,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
15,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
16,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
17,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
18,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
19,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
20,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
21,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
22,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
23,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
24,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
25,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
26,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
27,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
28,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
29,81000.00,13.42,11.21,0.00,40.00,16.21,39.61,36.51,0.00,18.76,28.95,21.67,32.29,36.14,0.00
