GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,1892000.00,343400.00,0.15,9.17,0.00,0.00,0.00,0.00,0.00
1,1892000.00,255600.00,0.10,1.30,0.00,0.00,0.00,0.00,0.00
2,1892000.00,230450.00,0.10,1.69,0.00,0.00,0.00,0.00,0.00
3,2037000.00,472600.00,0.05,2.03,0.00,0.00,0.00,0.00,0.00
4,2037000.00,613400.00,0.05,1.97,0.00,0.00,0.00,0.00,0.00
5,2037000.00,303400.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00
6,2037000.00,414600.00,0.20,1.17,0.00,0.00,0.00,0.00,0.00
7,2037000.00,645600.00,0.25,2.69,0.00,0.00,0.00,0.00,0.00
8,2232000.00,742000.00,0.15,2.07,0.00,0.00,0.00,0.00,0.00
9,5138000.00,824750.00,0.15,1.88,0.00,0.00,0.00,0.00,0.00
10,5138000.00,223150.00,0.10,3.36,0.00,0.00,0.00,0.00,0.00
11,5138000.00,489450.00,0.10,1.72,0.00,0.00,0.00,0.00,0.00
12,5138000.00,596650.00,0.15,1.98,0.00,0.00,0.00,0.00,0.00
13,5138000.00,408700.00,0.15,1.47,0.00,0.00,0.00,0.00,0.00
14,5138000.00,268350.00,0.05,1.26,0.00,0.00,0.00,0.00,0.00
15,5224000.00,1074050.00,0.05,2.68,0.00,0.00,0.00,0.00,0.00
16,5224000.00,292750.00,0.05,1.59,0.00,0.00,0.00,0.00,0.00
17,5224000.00,648500.00,0.05,2.30,0.00,0.00,0.00,0.00,0.00
18,5224000.00,248600.00,0.00,1.57,0.00,0.00,0.00,0.00,0.00
19,5264000.00,585550.00,0.10,1.21,0.00,0.00,0.00,0.00,0.00
