GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,-16400.00,-21966.67,0.13,0.95,73182.00,0.00,0.00,6.00,0.00
1,-15900.00,-22250.00,0.17,1.05,66054.00,0.00,0.00,7.00,1.00
2,-14900.00,-21333.33,0.03,0.87,68876.00,0.00,0.00,6.00,1.00
3,-14900.00,-21650.00,0.10,0.88,76168.00,0.00,0.00,6.00,1.00
4,-14900.00,-21850.00,0.13,0.87,73280.00,0.00,0.00,7.00,1.00
5,-14900.00,-21700.00,0.17,18.94,77635.00,0.00,0.00,7.00,1.00
6,-14900.00,-21900.00,0.10,0.83,89636.00,0.00,0.00,7.00,0.00
7,-14900.00,-21833.33,0.13,0.85,78197.00,0.00,0.00,8.00,1.00
8,-14900.00,-21200.00,0.03,11.76,76964.00,0.00,0.00,8.00,1.00
9,-14900.00,-21133.33,0.07,0.83,71027.00,0.00,0.00,8.00,1.00
10,-14900.00,-20833.33,0.07,0.84,81463.00,0.00,0.00,8.00,1.00
11,-14900.00,-21366.67,0.00,0.86,102450.00,0.00,0.00,7.00,1.00
12,-14900.00,-21500.00,0.10,0.89,85433.00,0.00,0.00,8.00,1.00
13,-14900.00,-21016.67,0.00,0.87,77778.00,0.00,0.00,7.00,1.00
14,-14900.00,-21183.33,0.07,0.90,73607.00,0.00,0.00,9.00,0.00
15,-13900.00,-21933.33,0.07,8.55,72423.00,0.00,0.00,8.00,1.00
16,-13900.00,-20900.00,0.03,0.87,90625.00,0.00,0.00,7.00,1.00
17,-13900.00,-21466.67,0.03,1.17,89164.00,0.00,0.00,7.00,1.00
18,-13900.00,-22250.00,0.07,0.97,79382.00,0.00,0.00,5.00,1.00
19,-13900.00,-21116.67,0.03,0.98,61881.00,0.00,0.00,8.00,0.00
20,-13900.00,-22016.67,0.07,0.91,84549.00,0.00,0.00,5.00,1.00
21,-13900.00,-21483.33,0.03,0.91,89532.00,0.00,0.00,6.00,1.00
22,-13900.00,-21083.33,0.00,0.86,72290.00,0.00,0.00,7.00,1.00
23,-13900.00,-21516.67,0.13,0.89,67284.00,0.00,0.00,7.00,1.00
24,-13900.00,-21800.00,0.03,0.84,83774.00,0.00,0.00,7.00,0.00
25,-13900.00,-21016.67,0.00,0.90,88683.00,0.00,0.00,9.00,0.00
26,-13900.00,-21650.00,0.00,0.86,88612.00,0.00,0.00,7.00,0.00
27,-13900.00,-21316.67,0.00,0.91,77142.00,0.00,0.00,9.00,1.00
28,-13900.00,-21216.67,0.00,1.17,73599.00,0.00,0.00,8.00,1.00
29,-13900.00,-21050.00,0.00,19.75,80275.00,0.00,0.00,8.00,1.00
30,-13900.00,-21000.00,0.07,0.89,79899.00,0.00,0.00,8.00,1.00
31,-13900.00,-20000.00,0.00,4.76,63352.00,0.00,0.00,8.00,0.00
32,-13900.00,-20583.33,0.00,22.29,64735.00,0.00,0.00,9.00,0.00
33,-13900.00,-20950.00,0.00,1.08,86869.00,0.00,0.00,8.00,0.00
34,-13900.00,-20900.00,0.00,35.67,78187.00,0.00,0.00,10.00,0.00
35,-13900.00,-20666.67,0.00,0.68,79960.00,0.00,0.00,7.00,1.00
36,-13900.00,-20316.67,0.00,0.84,79524.00,0.00,0.00,9.00,1.00
37,-13900.00,-21016.67,0.00,0.90,77286.00,0.00,0.00,8.00,1.00
38,-13900.00,-21133.33,0.00,0.85,93165.00,0.00,0.00,10.00,0.00
39,-13900.00,-20933.33,0.00,17.87,91382.00,0.00,0.00,9.00,1.00
40,-13900.00,-20983.33,0.00,0.84,69792.00,0.00,0.00,9.00,1.00
41,-13900.00,-21066.67,0.00,0.88,67013.00,0.00,0.00,9.00,0.00
42,-13900.00,-21000.00,0.00,0.88,80276.00,0.00,0.00,8.00,0.00
43,-13900.00,-20733.33,0.03,0.89,78446.00,0.00,0.00,8.00,1.00
44,-13900.00,-20983.33,0.00,0.86,97681.00,0.00,0.00,8.00,1.00
45,-13900.00,-20700.00,0.00,2.70,90927.00,0.00,0.00,9.00,1.00
46,-13900.00,-20483.33,0.00,2.62,74870.00,0.00,0.00,9.00,1.00
47,-13900.00,-19733.33,0.00,1.09,92601.00,0.00,0.00,9.00,0.00
48,-13900.00,-21000.00,0.00,0.89,88465.00,0.00,0.00,10.00,1.00
49,-13900.00,-20016.67,0.00,0.94,92440.00,0.00,0.00,11.00,1.00
