GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,36125.00,4.39,35.38,20.43,33.84,5.06,36.95,37.83,37.39,13.78,5.94,23.75,0.75,30.31,21.36
1,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
2,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
3,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
4,87250.00,9.07,35.11,30.05,32.93,3.29,35.55,33.18,30.86,15.57,5.80,27.19,0.00,17.41,20.59
