GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,7460.00,2901.20,0.00,1.34,0.00,0.00,0.00,0.00,0.00
1,58540.00,4432.80,0.00,6.23,0.00,0.00,0.00,0.00,0.00
2,58540.00,4047.20,0.00,1.00,0.00,0.00,0.00,0.00,0.00
3,80520.00,4922.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00
4,80520.00,3239.60,0.00,0.52,0.00,0.00,0.00,0.00,0.00
5,80520.00,4589.60,0.00,0.68,0.00,0.00,0.00,0.00,0.00
6,257360.00,9274.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00
7,257360.00,4026.80,0.00,0.79,0.00,0.00,0.00,0.00,0.00
8,257360.00,4578.40,0.00,0.59,0.00,0.00,0.00,0.00,0.00
9,257360.00,6481.20,0.00,0.59,0.00,0.00,0.00,0.00,0.00
