GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,-71475.00,34.05,39.73,4.30,33.47,32.56,23.73,28.31,8.76,22.72,20.95,1.86,21.40,1.26,28.63
1,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
2,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
3,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
4,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
5,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
6,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
7,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
8,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
9,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
10,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
11,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
12,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
13,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
14,-13035.00,30.50,29.57,5.39,29.67,21.66,10.86,8.68,15.42,21.68,16.46,37.84,29.35,8.02,40.00
15,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
16,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
17,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
18,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
19,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
20,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
21,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
22,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
23,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
24,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
25,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
26,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
27,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
28,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
29,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
30,-12345.00,19.04,0.00,0.00,38.81,40.00,28.77,3.13,40.00,4.00,17.14,0.33,9.14,23.62,40.00
31,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
32,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
33,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
34,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
35,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
36,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
37,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
38,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
39,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
40,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
41,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
42,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
43,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
44,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
45,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
46,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
47,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
48,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
49,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
50,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
51,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
52,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
53,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
54,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
55,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
56,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
57,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
58,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
59,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
60,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
61,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
62,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
63,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
64,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
65,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
66,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
67,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
68,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
69,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
70,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
71,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
72,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
73,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
74,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
75,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
76,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
77,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
78,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
79,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
80,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
81,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
82,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
83,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
84,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
85,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
86,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
87,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
88,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
89,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
90,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
91,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
92,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
93,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
94,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
95,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
96,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
97,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
98,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
99,-9240.00,17.08,15.50,0.00,40.00,25.83,33.53,8.89,36.26,40.00,7.65,0.19,1.08,40.00,40.00
