GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,-5000.00,-5000.00,0.00,1.36,0.00,0.00,0.00,0.00,0.00
1,4150.00,-3170.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
2,4150.00,-5000.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
3,4150.00,-5000.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
4,4150.00,-2000.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
5,4150.00,-2180.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
6,4150.00,410.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
7,4150.00,-200.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00
8,4150.00,-2170.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
9,4150.00,-970.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
10,4150.00,-770.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
11,4150.00,-2590.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
12,4150.00,-2400.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
13,33500.00,6710.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
14,33500.00,-2200.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
15,52000.00,11060.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00
16,52000.00,9610.00,0.20,0.29,0.00,0.00,0.00,0.00,0.00
17,52000.00,-3800.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
18,66500.00,12900.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00
19,66500.00,3350.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00
20,66500.00,-1190.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
21,66500.00,9860.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00
22,66500.00,-3600.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
23,66500.00,20.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
24,66500.00,-2190.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
25,66500.00,-1180.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
26,66500.00,-3400.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
27,66500.00,16690.00,0.20,0.13,0.00,0.00,0.00,0.00,0.00
28,66500.00,7500.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00
29,66500.00,7650.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00
30,66500.00,9050.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00
31,66500.00,1580.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00
32,66500.00,2020.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
33,66500.00,-1950.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
34,66500.00,1960.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
35,66500.00,-1310.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00
36,66500.00,2960.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
37,66500.00,8320.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00
38,66500.00,100.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
39,66500.00,-1000.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
40,66500.00,-1780.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
41,66500.00,200.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
42,66500.00,11650.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00
43,66500.00,1140.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
44,66500.00,10350.00,0.20,0.15,0.00,0.00,0.00,0.00,0.00
45,66500.00,-370.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
46,66500.00,870.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
47,66500.00,-1180.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
48,66500.00,1540.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
49,66500.00,9970.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00
