GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,0.00,-315.00,0.00,0.33,3803.00,0.00,0.00,0.00,3.00
1,0.00,-285.00,0.00,0.29,3394.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.64,15480.00,0.00,0.00,0.00,4.00
3,68330.00,10829.00,0.20,1.53,13476.00,0.00,0.00,10.00,7.00
4,68330.00,-300.00,0.00,3.88,4825.00,0.00,0.00,5.00,5.00
5,68330.00,5347.00,0.10,0.71,14736.00,0.00,0.00,2.00,8.00
6,68330.00,-935.00,0.00,1.27,30038.00,0.00,0.00,1.00,12.00
7,68330.00,6727.00,0.10,0.51,33982.00,0.00,0.00,1.00,3.00
8,68330.00,0.00,0.00,0.46,29065.00,0.00,0.00,0.00,7.00
9,72570.00,13480.00,0.20,0.57,23546.00,0.00,0.00,5.00,3.00
10,72570.00,11201.00,0.20,0.84,27322.00,0.00,0.00,6.00,7.00
11,72570.00,4768.00,0.10,0.67,24566.00,0.00,0.00,6.00,7.00
12,72570.00,3797.00,0.10,0.48,32602.00,0.00,0.00,1.00,3.00
13,72570.00,-565.00,0.00,1.39,23067.00,0.00,0.00,1.00,7.00
14,72570.00,-460.00,0.00,1.15,40121.00,0.00,0.00,1.00,8.00
15,72570.00,5015.00,0.10,3.18,10898.00,0.00,0.00,3.00,7.00
16,72570.00,11919.00,0.20,0.38,21898.00,0.00,0.00,4.00,4.00
17,72570.00,-425.00,0.00,0.49,37069.00,0.00,0.00,1.00,6.00
18,72570.00,6208.00,0.10,0.60,54333.00,0.00,0.00,2.00,16.00
19,72570.00,-395.00,0.00,2.96,30650.00,0.00,0.00,1.00,7.00
