Step,ElapsedMs,BotType,Difficulty
25,849.5447,EliteCommander,Aggressive
50,31.0365,EliteCommander,Aggressive
75,15.7445,EliteCommander,Aggressive
100,21.4726,EliteCommander,Aggressive
125,20.6016,EliteCommander,Aggressive
150,29.9152,EliteCommander,Aggressive
175,29.4212,EliteCommander,Aggressive
200,30.7816,EliteCommander,Aggressive
225,25.4355,EliteCommander,Aggressive
250,34.3275,EliteCommander,Aggressive
25,849.2417,EliteCommander,Aggressive
50,31.1241,EliteCommander,Aggressive
75,15.8264,EliteCommander,Aggressive
100,15.0607,EliteCommander,Aggressive
125,19.8096,EliteCommander,Aggressive
150,26.3770,EliteCommander,Aggressive
175,27.1579,EliteCommander,Aggressive
200,28.5605,EliteCommander,Aggressive
225,22.9501,EliteCommander,Aggressive
250,31.2881,EliteCommander,Aggressive
25,849.3203,EliteCommander,Aggressive
50,31.1993,EliteCommander,Aggressive
75,15.8955,EliteCommander,Aggressive
100,14.8859,EliteCommander,Aggressive
125,19.4119,EliteCommander,Aggressive
150,23.0270,EliteCommander,Aggressive
175,25.2141,EliteCommander,Aggressive
200,26.4205,EliteCommander,Aggressive
225,20.5468,EliteCommander,Aggressive
250,28.1118,EliteCommander,Aggressive
25,849.3850,EliteCommander,Aggressive
50,31.2607,EliteCommander,Aggressive
75,15.9566,EliteCommander,Aggressive
100,14.7448,EliteCommander,Aggressive
125,19.0271,EliteCommander,Aggressive
150,19.9835,EliteCommander,Aggressive
175,23.2813,EliteCommander,Aggressive
200,24.1913,EliteCommander,Aggressive
225,18.0701,EliteCommander,Aggressive
250,24.5941,EliteCommander,Aggressive
25,848.4633,EliteCommander,Aggressive
50,31.3127,EliteCommander,Aggressive
75,16.0115,EliteCommander,Aggressive
100,14.6043,EliteCommander,Aggressive
125,18.6312,EliteCommander,Aggressive
150,17.1216,EliteCommander,Aggressive
175,21.1405,EliteCommander,Aggressive
200,22.0472,EliteCommander,Aggressive
225,15.6649,EliteCommander,Aggressive
250,21.0693,EliteCommander,Aggressive
275,33.6622,EliteCommander,Aggressive
300,36.6574,EliteCommander,Aggressive
325,37.7833,EliteCommander,Aggressive
350,45.6440,EliteCommander,Aggressive
375,43.5995,EliteCommander,Aggressive
400,43.8978,EliteCommander,Aggressive
425,42.9476,EliteCommander,Aggressive
450,44.4113,EliteCommander,Aggressive
475,44.6143,EliteCommander,Aggressive
500,43.7852,EliteCommander,Aggressive
275,29.5245,EliteCommander,Aggressive
300,32.4603,EliteCommander,Aggressive
325,33.0394,EliteCommander,Aggressive
350,39.7961,EliteCommander,Aggressive
375,37.7059,EliteCommander,Aggressive
400,37.3733,EliteCommander,Aggressive
425,36.7858,EliteCommander,Aggressive
450,38.4446,EliteCommander,Aggressive
475,38.6360,EliteCommander,Aggressive
500,38.4741,EliteCommander,Aggressive
275,25.5796,EliteCommander,Aggressive
300,28.3200,EliteCommander,Aggressive
325,28.3846,EliteCommander,Aggressive
350,33.5479,EliteCommander,Aggressive
375,31.4669,EliteCommander,Aggressive
400,31.5176,EliteCommander,Aggressive
425,30.7175,EliteCommander,Aggressive
450,32.7729,EliteCommander,Aggressive
475,32.7269,EliteCommander,Aggressive
500,32.7126,EliteCommander,Aggressive
275,21.6560,EliteCommander,Aggressive
300,24.2299,EliteCommander,Aggressive
325,23.4065,EliteCommander,Aggressive
350,27.7587,EliteCommander,Aggressive
375,25.6395,EliteCommander,Aggressive
400,25.2737,EliteCommander,Aggressive
425,24.7632,EliteCommander,Aggressive
450,25.8590,EliteCommander,Aggressive
475,26.8119,EliteCommander,Aggressive
500,27.4024,EliteCommander,Aggressive
275,17.7289,EliteCommander,Aggressive
300,20.1248,EliteCommander,Aggressive
325,18.6878,EliteCommander,Aggressive
350,21.7437,EliteCommander,Aggressive
375,19.7285,EliteCommander,Aggressive
400,19.3671,EliteCommander,Aggressive
425,18.9610,EliteCommander,Aggressive
450,20.1606,EliteCommander,Aggressive
475,20.5849,EliteCommander,Aggressive
500,21.3882,EliteCommander,Aggressive
525,42.8496,EliteCommander,Aggressive
550,43.6457,EliteCommander,Aggressive
575,43.2267,EliteCommander,Aggressive
600,46.5378,EliteCommander,Aggressive
625,43.3306,EliteCommander,Aggressive
650,47.1640,EliteCommander,Aggressive
675,43.4525,EliteCommander,Aggressive
700,45.1869,EliteCommander,Aggressive
725,44.9895,EliteCommander,Aggressive
750,44.1479,EliteCommander,Aggressive
525,37.0309,EliteCommander,Aggressive
550,37.7759,EliteCommander,Aggressive
575,37.1874,EliteCommander,Aggressive
600,40.4172,EliteCommander,Aggressive
625,37.2509,EliteCommander,Aggressive
650,41.1123,EliteCommander,Aggressive
675,37.6214,EliteCommander,Aggressive
700,39.3859,EliteCommander,Aggressive
725,39.0809,EliteCommander,Aggressive
750,38.5572,EliteCommander,Aggressive
525,30.8443,EliteCommander,Aggressive
550,31.9451,EliteCommander,Aggressive
575,31.4566,EliteCommander,Aggressive
600,34.1368,EliteCommander,Aggressive
625,31.4366,EliteCommander,Aggressive
650,35.3014,EliteCommander,Aggressive
675,31.1245,EliteCommander,Aggressive
700,33.2986,EliteCommander,Aggressive
725,33.1445,EliteCommander,Aggressive
750,33.1217,EliteCommander,Aggressive
525,24.7436,EliteCommander,Aggressive
550,25.7249,EliteCommander,Aggressive
575,25.1544,EliteCommander,Aggressive
600,28.2854,EliteCommander,Aggressive
625,24.8473,EliteCommander,Aggressive
650,29.3010,EliteCommander,Aggressive
675,25.0382,EliteCommander,Aggressive
700,27.5631,EliteCommander,Aggressive
725,26.6749,EliteCommander,Aggressive
750,27.2493,EliteCommander,Aggressive
525,18.4762,EliteCommander,Aggressive
550,19.9602,EliteCommander,Aggressive
575,18.9749,EliteCommander,Aggressive
600,21.6451,EliteCommander,Aggressive
625,18.7464,EliteCommander,Aggressive
650,22.9812,EliteCommander,Aggressive
675,19.1461,EliteCommander,Aggressive
700,21.3320,EliteCommander,Aggressive
725,20.7608,EliteCommander,Aggressive
750,21.7357,EliteCommander,Aggressive
775,43.8011,EliteCommander,Aggressive
800,29.5977,EliteCommander,Aggressive
825,45.2649,EliteCommander,Aggressive
850,59.6328,EliteCommander,Aggressive
875,52.1527,EliteCommander,Aggressive
900,45.2095,EliteCommander,Aggressive
925,18.3091,EliteCommander,Aggressive
950,45.3668,EliteCommander,Aggressive
975,53.9968,EliteCommander,Aggressive
1000,55.0481,EliteCommander,Aggressive
775,37.0216,EliteCommander,Aggressive
800,26.2970,EliteCommander,Aggressive
825,39.0222,EliteCommander,Aggressive
850,51.9261,EliteCommander,Aggressive
875,44.3258,EliteCommander,Aggressive
900,40.2009,EliteCommander,Aggressive
925,17.7503,EliteCommander,Aggressive
950,39.1174,EliteCommander,Aggressive
975,45.5376,EliteCommander,Aggressive
1000,47.3637,EliteCommander,Aggressive
775,30.7725,EliteCommander,Aggressive
800,23.4015,EliteCommander,Aggressive
825,33.1398,EliteCommander,Aggressive
850,40.7818,EliteCommander,Aggressive
875,36.3801,EliteCommander,Aggressive
900,35.5718,EliteCommander,Aggressive
925,17.1782,EliteCommander,Aggressive
950,33.0000,EliteCommander,Aggressive
975,37.7763,EliteCommander,Aggressive
1000,39.4807,EliteCommander,Aggressive
775,24.3858,EliteCommander,Aggressive
800,20.7470,EliteCommander,Aggressive
825,26.5430,EliteCommander,Aggressive
850,32.9608,EliteCommander,Aggressive
875,28.0899,EliteCommander,Aggressive
900,30.3704,EliteCommander,Aggressive
925,16.4928,EliteCommander,Aggressive
950,26.5275,EliteCommander,Aggressive
975,29.9856,EliteCommander,Aggressive
1000,32.0398,EliteCommander,Aggressive
775,18.5539,EliteCommander,Aggressive
800,18.0912,EliteCommander,Aggressive
825,20.6738,EliteCommander,Aggressive
850,24.7268,EliteCommander,Aggressive
875,20.1428,EliteCommander,Aggressive
900,20.0419,EliteCommander,Aggressive
925,15.8600,EliteCommander,Aggressive
950,20.1028,EliteCommander,Aggressive
975,21.7030,EliteCommander,Aggressive
1000,24.2797,EliteCommander,Aggressive
1025,52.6021,EliteCommander,Aggressive
1050,55.3330,EliteCommander,Aggressive
1075,51.6594,EliteCommander,Aggressive
1100,101.0685,EliteCommander,Aggressive
1125,53.4457,EliteCommander,Aggressive
1150,56.9113,EliteCommander,Aggressive
1175,52.3511,EliteCommander,Aggressive
1200,54.6582,EliteCommander,Aggressive
1225,68.3880,EliteCommander,Aggressive
1250,54.7692,EliteCommander,Aggressive
1025,44.5616,EliteCommander,Aggressive
1050,46.3023,EliteCommander,Aggressive
1075,43.7869,EliteCommander,Aggressive
1100,93.0310,EliteCommander,Aggressive
1125,45.1957,EliteCommander,Aggressive
1150,48.1223,EliteCommander,Aggressive
1175,43.9292,EliteCommander,Aggressive
1200,46.0253,EliteCommander,Aggressive
1225,56.8861,EliteCommander,Aggressive
1250,47.5704,EliteCommander,Aggressive
1025,36.2686,EliteCommander,Aggressive
1050,38.2954,EliteCommander,Aggressive
1075,36.1331,EliteCommander,Aggressive
1100,82.0221,EliteCommander,Aggressive
1125,37.3211,EliteCommander,Aggressive
1150,39.8151,EliteCommander,Aggressive
1175,36.1444,EliteCommander,Aggressive
1200,38.1389,EliteCommander,Aggressive
