Step,ElapsedMs,BotType,Difficulty
10,69.4642,EliteCommander,Aggressive
20,54.8447,EliteCommander,Aggressive
30,62.7865,EliteCommander,Aggressive
40,38.8158,EliteCommander,Aggressive
50,54.9883,EliteCommander,Aggressive
60,55.1348,EliteCommander,Aggressive
70,56.9602,EliteCommander,Aggressive
80,61.9312,EliteCommander,Aggressive
90,150.3303,EliteCommander,Aggressive
95,153.7197,EliteCommander,Aggressive
105,54.8211,EliteCommander,Aggressive
110,65.9493,EliteCommander,Aggressive
115,63.4784,EliteCommander,Aggressive
125,66.0743,EliteCommander,Aggressive
130,60.3622,EliteCommander,Aggressive
140,58.7455,EliteCommander,Aggressive
145,53.1877,EliteCommander,Aggressive
150,64.3661,EliteCommander,Aggressive
160,54.0193,EliteCommander,Aggressive
165,55.0876,EliteCommander,Aggressive
175,59.0067,EliteCommander,Aggressive
180,81.4674,EliteCommander,Aggressive
185,89.3712,EliteCommander,Aggressive
195,69.1021,EliteCommander,Aggressive
200,76.1650,EliteCommander,Aggressive
210,86.9620,EliteCommander,Aggressive
215,69.3562,EliteCommander,Aggressive
220,67.1118,EliteCommander,Aggressive
230,76.6070,EliteCommander,Aggressive
235,117.0470,EliteCommander,Aggressive
245,94.8148,EliteCommander,Aggressive
250,65.7129,EliteCommander,Aggressive
255,102.0137,EliteCommander,Aggressive
265,76.0923,EliteCommander,Aggressive
270,71.8334,EliteCommander,Aggressive
280,83.9097,EliteCommander,Aggressive
285,95.1004,EliteCommander,Aggressive
290,84.5338,EliteCommander,Aggressive
300,111.3649,EliteCommander,Aggressive
305,71.2684,EliteCommander,Aggressive
315,73.4028,EliteCommander,Aggressive
320,65.8646,EliteCommander,Aggressive
325,227.2479,EliteCommander,Aggressive
335,112.2186,EliteCommander,Aggressive
340,83.2675,EliteCommander,Aggressive
350,75.5931,EliteCommander,Aggressive
355,88.7300,EliteCommander,Aggressive
360,95.7197,EliteCommander,Aggressive
370,82.0483,EliteCommander,Aggressive
375,76.4016,EliteCommander,Aggressive
385,53.9277,EliteCommander,Aggressive
390,62.3229,EliteCommander,Aggressive
395,68.2341,EliteCommander,Aggressive
405,837.4196,EliteCommander,Aggressive
415,63.9201,EliteCommander,Aggressive
425,62.1782,EliteCommander,Aggressive
435,54.1836,EliteCommander,Aggressive
445,60.1723,EliteCommander,Aggressive
455,54.0756,EliteCommander,Aggressive
465,62.2134,EliteCommander,Aggressive
475,60.6451,EliteCommander,Aggressive
485,60.7819,EliteCommander,Aggressive
495,59.2602,EliteCommander,Aggressive
505,51.2384,EliteCommander,Aggressive
515,71.5513,EliteCommander,Aggressive
525,55.8428,EliteCommander,Aggressive
535,62.8369,EliteCommander,Aggressive
545,64.3487,EliteCommander,Aggressive
555,61.1139,EliteCommander,Aggressive
565,63.3028,EliteCommander,Aggressive
575,56.6929,EliteCommander,Aggressive
585,53.4499,EliteCommander,Aggressive
595,52.9884,EliteCommander,Aggressive
605,52.5317,EliteCommander,Aggressive
615,61.9249,EliteCommander,Aggressive
625,59.2806,EliteCommander,Aggressive
635,238.5855,EliteCommander,Aggressive
645,52.8313,EliteCommander,Aggressive
