Step,ElapsedMs,BotType,Difficulty
100,1193.0250,EliteCommander,Aggressive
200,89.6968,EliteCommander,Aggressive
300,58.5048,EliteCommander,Aggressive
400,65.4297,EliteCommander,Aggressive
500,61.4652,EliteCommander,Aggressive
600,67.7810,EliteCommander,Aggressive
700,65.6808,EliteCommander,Aggressive
800,53.9623,EliteCommander,Aggressive
900,31.9581,EliteCommander,Aggressive
1000,42.6260,EliteCommander,Aggressive
1100,65.7904,EliteCommander,Aggressive
1200,73.4174,EliteCommander,Aggressive
1300,73.6258,EliteCommander,Aggressive
1400,53.8778,EliteCommander,Aggressive
1500,50.3438,EliteCommander,Aggressive
1600,43.9943,EliteCommander,Aggressive
1700,38.9741,EliteCommander,Aggressive
1800,34.0041,EliteCommander,Aggressive
1900,34.0207,EliteCommander,Aggressive
2000,32.1826,EliteCommander,Aggressive
2100,29.2175,EliteCommander,Aggressive
2200,28.9378,EliteCommander,Aggressive
2300,29.8732,EliteCommander,Aggressive
2400,29.2543,EliteCommander,Aggressive
2500,28.4550,EliteCommander,Aggressive
2600,28.9856,EliteCommander,Aggressive
2700,28.0021,EliteCommander,Aggressive
2800,28.9759,EliteCommander,Aggressive
2900,28.6773,EliteCommander,Aggressive
3000,33.2850,EliteCommander,Aggressive
3100,28.5373,EliteCommander,Aggressive
3200,28.6431,EliteCommander,Aggressive
3300,28.8298,EliteCommander,Aggressive
3400,28.6392,EliteCommander,Aggressive
3500,29.3328,EliteCommander,Aggressive
3600,29.1561,EliteCommander,Aggressive
3700,30.0785,EliteCommander,Aggressive
3800,26.8546,EliteCommander,Aggressive
3900,28.1362,EliteCommander,Aggressive
4000,43.6106,EliteCommander,Aggressive
4100,31.7949,EliteCommander,Aggressive
4200,27.3691,EliteCommander,Aggressive
4300,28.7929,EliteCommander,Aggressive
4400,29.9758,EliteCommander,Aggressive
4500,32.8597,EliteCommander,Aggressive
4600,29.6274,EliteCommander,Aggressive
4700,31.1829,EliteCommander,Aggressive
4800,27.9616,EliteCommander,Aggressive
4900,28.7559,EliteCommander,Aggressive
5000,30.0356,EliteCommander,Aggressive
5100,27.2293,EliteCommander,Aggressive
5200,28.2938,EliteCommander,Aggressive
5300,29.3042,EliteCommander,Aggressive
5400,28.2057,EliteCommander,Aggressive
5500,29.5314,EliteCommander,Aggressive
5600,29.0652,EliteCommander,Aggressive
5700,28.9105,EliteCommander,Aggressive
5800,29.7341,EliteCommander,Aggressive
5900,28.3145,EliteCommander,Aggressive
6000,34.7072,EliteCommander,Aggressive
6100,34.9869,EliteCommander,Aggressive
6200,42.4400,EliteCommander,Aggressive
6300,46.3370,EliteCommander,Aggressive
6400,30.4390,EliteCommander,Aggressive
6500,28.8365,EliteCommander,Aggressive
6600,27.5034,EliteCommander,Aggressive
6700,29.5529,EliteCommander,Aggressive
6800,28.3770,EliteCommander,Aggressive
6900,30.4689,EliteCommander,Aggressive
7000,27.9188,EliteCommander,Aggressive
7100,29.7513,EliteCommander,Aggressive
7200,28.2906,EliteCommander,Aggressive
7300,30.0105,EliteCommander,Aggressive
7400,28.9485,EliteCommander,Aggressive
7500,28.5323,EliteCommander,Aggressive
7600,30.0395,EliteCommander,Aggressive
7700,28.0304,EliteCommander,Aggressive
7800,29.2144,EliteCommander,Aggressive
7900,36.5059,EliteCommander,Aggressive
8000,28.4307,EliteCommander,Aggressive
8100,30.1787,EliteCommander,Aggressive
8200,27.7048,EliteCommander,Aggressive
8300,28.4053,EliteCommander,Aggressive
8400,29.0161,EliteCommander,Aggressive
8500,30.1321,EliteCommander,Aggressive
8600,28.1163,EliteCommander,Aggressive
8700,31.6930,EliteCommander,Aggressive
8800,28.5938,EliteCommander,Aggressive
8900,31.0476,EliteCommander,Aggressive
9000,29.2238,EliteCommander,Aggressive
9100,27.4301,EliteCommander,Aggressive
9200,31.6061,EliteCommander,Aggressive
9300,28.9575,EliteCommander,Aggressive
9400,31.2555,EliteCommander,Aggressive
9500,28.9758,EliteCommander,Aggressive
9600,27.8256,EliteCommander,Aggressive
9700,27.6981,EliteCommander,Aggressive
9800,28.8057,EliteCommander,Aggressive
9900,29.9623,EliteCommander,Aggressive
10000,29.4249,EliteCommander,Aggressive
10100,28.9084,EliteCommander,Aggressive
10200,33.3575,EliteCommander,Aggressive
10300,30.1894,EliteCommander,Aggressive
10400,28.2163,EliteCommander,Aggressive
10500,27.8416,EliteCommander,Aggressive
10600,28.8526,EliteCommander,Aggressive
10700,28.4949,EliteCommander,Aggressive
10800,29.0630,EliteCommander,Aggressive
10900,34.5202,EliteCommander,Aggressive
11000,30.5071,EliteCommander,Aggressive
11100,31.0925,EliteCommander,Aggressive
11200,31.4656,EliteCommander,Aggressive
11300,29.3882,EliteCommander,Aggressive
11400,31.7208,EliteCommander,Aggressive
11500,30.3925,EliteCommander,Aggressive
11600,29.9821,EliteCommander,Aggressive
11700,31.5933,EliteCommander,Aggressive
11800,29.2891,EliteCommander,Aggressive
11900,31.5700,EliteCommander,Aggressive
12000,29.4250,EliteCommander,Aggressive
12100,28.8493,EliteCommander,Aggressive
12200,29.5947,EliteCommander,Aggressive
12300,30.0911,EliteCommander,Aggressive
12400,31.1664,EliteCommander,Aggressive
12500,30.3552,EliteCommander,Aggressive
12600,29.1732,EliteCommander,Aggressive
12700,31.2192,EliteCommander,Aggressive
12800,28.8570,EliteCommander,Aggressive
12900,30.5489,EliteCommander,Aggressive
13000,29.6098,EliteCommander,Aggressive
13100,28.0889,EliteCommander,Aggressive
13200,31.6141,EliteCommander,Aggressive
13300,28.6754,EliteCommander,Aggressive
13400,30.9662,EliteCommander,Aggressive
13500,28.9312,EliteCommander,Aggressive
13600,30.0271,EliteCommander,Aggressive
13700,39.8530,EliteCommander,Aggressive
13800,31.7979,EliteCommander,Aggressive
13900,67.0394,EliteCommander,Aggressive
14000,54.5789,EliteCommander,Aggressive
14100,40.8773,EliteCommander,Aggressive
14200,42.7935,EliteCommander,Aggressive
14300,36.9469,EliteCommander,Aggressive
14400,38.0506,EliteCommander,Aggressive
14500,42.3499,EliteCommander,Aggressive
14600,37.7898,EliteCommander,Aggressive
14700,36.9873,EliteCommander,Aggressive
14800,35.9248,EliteCommander,Aggressive
14900,37.8498,EliteCommander,Aggressive
15000,35.4876,EliteCommander,Aggressive
15100,30.3970,EliteCommander,Aggressive
15200,29.4902,EliteCommander,Aggressive
15300,33.4073,EliteCommander,Aggressive
15400,29.8585,EliteCommander,Aggressive
15500,32.4252,EliteCommander,Aggressive
15600,35.7527,EliteCommander,Aggressive
15700,29.3744,EliteCommander,Aggressive
15800,40.2613,EliteCommander,Aggressive
15900,41.8270,EliteCommander,Aggressive
16000,45.9861,EliteCommander,Aggressive
16100,30.4421,EliteCommander,Aggressive
16200,31.1830,EliteCommander,Aggressive
16300,32.6734,EliteCommander,Aggressive
16400,32.8014,EliteCommander,Aggressive
16500,30.4179,EliteCommander,Aggressive
16600,31.9080,EliteCommander,Aggressive
16700,31.1884,EliteCommander,Aggressive
16800,29.8598,EliteCommander,Aggressive
16900,59.7633,EliteCommander,Aggressive
17000,9149.1104,EliteCommander,Aggressive
17100,268.1618,EliteCommander,Aggressive
