Step,ElapsedMs,BotType,Difficulty
100,1114.2089,EliteCommander,Aggressive
200,57.2538,EliteCommander,Aggressive
300,22.9309,EliteCommander,Aggressive
400,31.0032,EliteCommander,Aggressive
500,36.2239,EliteCommander,Aggressive
600,34.5325,EliteCommander,Aggressive
700,27.6557,EliteCommander,Aggressive
800,26.2721,EliteCommander,Aggressive
900,40.3439,EliteCommander,Aggressive
1000,29.1460,EliteCommander,Aggressive
1100,35.5967,EliteCommander,Aggressive
1200,37.1793,EliteCommander,Aggressive
1300,36.3235,EliteCommander,Aggressive
1400,43.6326,EliteCommander,Aggressive
1500,27.9489,EliteCommander,Aggressive
1600,20.3916,EliteCommander,Aggressive
1700,21.5385,EliteCommander,Aggressive
1800,36.6522,EliteCommander,Aggressive
1900,38.7519,EliteCommander,Aggressive
2000,24.1822,EliteCommander,Aggressive
2100,29.7795,EliteCommander,Aggressive
2200,22.4234,EliteCommander,Aggressive
2300,39.1607,EliteCommander,Aggressive
2400,37.6369,EliteCommander,Aggressive
2500,36.1711,EliteCommander,Aggressive
2600,35.8353,EliteCommander,Aggressive
2700,41.5996,EliteCommander,Aggressive
2800,11.2805,EliteCommander,Aggressive
2900,6.1892,EliteCommander,Aggressive
3000,31.3410,EliteCommander,Aggressive
3100,37.1409,EliteCommander,Aggressive
3200,40.1706,EliteCommander,Aggressive
3300,37.8508,EliteCommander,Aggressive
3400,28.7228,EliteCommander,Aggressive
3500,28.3827,EliteCommander,Aggressive
3600,30.0037,EliteCommander,Aggressive
3700,34.1283,EliteCommander,Aggressive
3800,62.1561,EliteCommander,Aggressive
3900,66.2915,EliteCommander,Aggressive
4000,62.6576,EliteCommander,Aggressive
4100,87.8532,EliteCommander,Aggressive
4200,58.2108,EliteCommander,Aggressive
4300,66.9382,EliteCommander,Aggressive
4400,110.2896,EliteCommander,Aggressive
4500,52.5000,EliteCommander,Aggressive
4600,24.4403,EliteCommander,Aggressive
4700,93.2840,EliteCommander,Aggressive
4800,100.0015,EliteCommander,Aggressive
4900,88.9220,EliteCommander,Aggressive
65,6.1453,EliteCommander,Aggressive
165,9.2925,EliteCommander,Aggressive
265,17.6845,EliteCommander,Aggressive
365,27.1167,EliteCommander,Aggressive
465,38.8925,EliteCommander,Aggressive
565,39.9966,EliteCommander,Aggressive
665,38.5461,EliteCommander,Aggressive
765,42.7269,EliteCommander,Aggressive
865,38.1486,EliteCommander,Aggressive
965,29.6126,EliteCommander,Aggressive
1065,42.5526,EliteCommander,Aggressive
1165,40.9665,EliteCommander,Aggressive
1265,40.0349,EliteCommander,Aggressive
1365,40.1961,EliteCommander,Aggressive
1465,49.4087,EliteCommander,Aggressive
1565,23.2558,EliteCommander,Aggressive
1665,26.8431,EliteCommander,Aggressive
1765,30.5479,EliteCommander,Aggressive
1865,39.2017,EliteCommander,Aggressive
1965,29.1720,EliteCommander,Aggressive
2065,22.0077,EliteCommander,Aggressive
2165,21.1904,EliteCommander,Aggressive
2265,28.9924,EliteCommander,Aggressive
2365,43.8379,EliteCommander,Aggressive
2465,37.2653,EliteCommander,Aggressive
2565,54.9101,EliteCommander,Aggressive
2665,35.7864,EliteCommander,Aggressive
2765,26.0386,EliteCommander,Aggressive
2865,5.5385,EliteCommander,Aggressive
2965,27.2919,EliteCommander,Aggressive
3065,63.2712,EliteCommander,Aggressive
