Step,ElapsedMs,BotType,Difficulty
10,48.4716,EliteCommander,Aggressive
20,7.4060,EliteCommander,Aggressive
30,7.5389,EliteCommander,Aggressive
40,8.2726,EliteCommander,Aggressive
50,8.0870,EliteCommander,Aggressive
60,7.4131,EliteCommander,Aggressive
70,7.7475,EliteCommander,Aggressive
77,8.2107,EliteCommander,Aggressive
84,9.2370,EliteCommander,Aggressive
91,9.0467,EliteCommander,Aggressive
98,9.2329,EliteCommander,Aggressive
105,8.4464,EliteCommander,Aggressive
112,8.1041,EliteCommander,Aggressive
119,8.5669,EliteCommander,Aggressive
126,8.8545,EliteCommander,Aggressive
133,9.8776,EliteCommander,Aggressive
140,9.6470,EliteCommander,Aggressive
147,7.6660,EliteCommander,Aggressive
153,12.5302,EliteCommander,Aggressive
158,9.6915,EliteCommander,Aggressive
163,10.5677,EliteCommander,Aggressive
168,9.5528,EliteCommander,Aggressive
173,9.1584,EliteCommander,Aggressive
178,10.0706,EliteCommander,Aggressive
183,9.4610,EliteCommander,Aggressive
188,8.8029,EliteCommander,Aggressive
193,9.9493,EliteCommander,Aggressive
198,8.6969,EliteCommander,Aggressive
203,9.1583,EliteCommander,Aggressive
208,8.3573,EliteCommander,Aggressive
213,8.6333,EliteCommander,Aggressive
218,7.6637,EliteCommander,Aggressive
223,8.5721,EliteCommander,Aggressive
228,7.4281,EliteCommander,Aggressive
233,9.7532,EliteCommander,Aggressive
238,9.0225,EliteCommander,Aggressive
243,9.3983,EliteCommander,Aggressive
248,9.1455,EliteCommander,Aggressive
253,9.0513,EliteCommander,Aggressive
258,9.4514,EliteCommander,Aggressive
263,8.7106,EliteCommander,Aggressive
268,8.7777,EliteCommander,Aggressive
273,9.7654,EliteCommander,Aggressive
278,8.6541,EliteCommander,Aggressive
283,9.1424,EliteCommander,Aggressive
288,8.5743,EliteCommander,Aggressive
293,8.2121,EliteCommander,Aggressive
298,8.7930,EliteCommander,Aggressive
303,8.8155,EliteCommander,Aggressive
308,10.0192,EliteCommander,Aggressive
313,10.1967,EliteCommander,Aggressive
318,9.2800,EliteCommander,Aggressive
323,9.4199,EliteCommander,Aggressive
328,10.4809,EliteCommander,Aggressive
333,8.3934,EliteCommander,Aggressive
338,9.9700,EliteCommander,Aggressive
343,8.8189,EliteCommander,Aggressive
348,10.0699,EliteCommander,Aggressive
353,9.4522,EliteCommander,Aggressive
358,10.4768,EliteCommander,Aggressive
363,7.9482,EliteCommander,Aggressive
368,9.0469,EliteCommander,Aggressive
373,8.9075,EliteCommander,Aggressive
378,9.3893,EliteCommander,Aggressive
383,12.0944,EliteCommander,Aggressive
388,7.7180,EliteCommander,Aggressive
393,7.8194,EliteCommander,Aggressive
398,8.8896,EliteCommander,Aggressive
403,9.5013,EliteCommander,Aggressive
