Step,ElapsedMs,BotType,Difficulty
10,52.6079,EliteCommander,Aggressive
20,9.6490,EliteCommander,Aggressive
30,9.2685,EliteCommander,Aggressive
40,11.7383,EliteCommander,Aggressive
50,9.2118,EliteCommander,Aggressive
60,9.1027,EliteCommander,Aggressive
70,9.6045,EliteCommander,Aggressive
77,9.5337,EliteCommander,Aggressive
84,8.5188,EliteCommander,Aggressive
91,10.6642,EliteCommander,Aggressive
98,8.5608,EliteCommander,Aggressive
105,10.1760,EliteCommander,Aggressive
112,9.0010,EliteCommander,Aggressive
119,8.8987,EliteCommander,Aggressive
126,9.7997,EliteCommander,Aggressive
133,9.2551,EliteCommander,Aggressive
140,10.4164,EliteCommander,Aggressive
146,10.8459,EliteCommander,Aggressive
151,8.9447,EliteCommander,Aggressive
156,11.8980,EliteCommander,Aggressive
161,9.7176,EliteCommander,Aggressive
166,14.7631,EliteCommander,Aggressive
171,10.3543,EliteCommander,Aggressive
176,9.7222,EliteCommander,Aggressive
181,10.0665,EliteCommander,Aggressive
186,10.4338,EliteCommander,Aggressive
191,10.4566,EliteCommander,Aggressive
196,8.8663,EliteCommander,Aggressive
201,10.3163,EliteCommander,Aggressive
206,8.9688,EliteCommander,Aggressive
211,9.6753,EliteCommander,Aggressive
216,8.8919,EliteCommander,Aggressive
221,8.4809,EliteCommander,Aggressive
226,10.3797,EliteCommander,Aggressive
231,9.6432,EliteCommander,Aggressive
236,8.9617,EliteCommander,Aggressive
241,10.0029,EliteCommander,Aggressive
246,9.9931,EliteCommander,Aggressive
251,11.3492,EliteCommander,Aggressive
256,8.9533,EliteCommander,Aggressive
261,9.7535,EliteCommander,Aggressive
266,11.0244,EliteCommander,Aggressive
271,9.2520,EliteCommander,Aggressive
276,9.6940,EliteCommander,Aggressive
281,9.7733,EliteCommander,Aggressive
286,8.2018,EliteCommander,Aggressive
291,8.6690,EliteCommander,Aggressive
296,7.8995,EliteCommander,Aggressive
301,8.5715,EliteCommander,Aggressive
306,8.7801,EliteCommander,Aggressive
311,8.6373,EliteCommander,Aggressive
316,10.5014,EliteCommander,Aggressive
321,8.8732,EliteCommander,Aggressive
326,8.8720,EliteCommander,Aggressive
331,7.9437,EliteCommander,Aggressive
336,8.2137,EliteCommander,Aggressive
341,9.4848,EliteCommander,Aggressive
346,9.7624,EliteCommander,Aggressive
351,9.1535,EliteCommander,Aggressive
356,9.0093,EliteCommander,Aggressive
