Step,ElapsedMs,BotType,Difficulty
10,56.0959,EliteCommander,Aggressive
20,48.7656,EliteCommander,Aggressive
30,92.4226,EliteCommander,Aggressive
40,43.0913,EliteCommander,Aggressive
50,39.6950,EliteCommander,Aggressive
60,41.7176,EliteCommander,Aggressive
70,42.9099,EliteCommander,Aggressive
80,47.9945,EliteCommander,Aggressive
85,49.6452,EliteCommander,Aggressive
95,44.6566,EliteCommander,Aggressive
100,45.7985,EliteCommander,Aggressive
105,71.0029,EliteCommander,Aggressive
115,69.4849,EliteCommander,Aggressive
120,40.3719,EliteCommander,Aggressive
130,39.6247,EliteCommander,Aggressive
135,62.8876,EliteCommander,Aggressive
140,49.9275,EliteCommander,Aggressive
150,56.5439,EliteCommander,Aggressive
155,55.0966,EliteCommander,Aggressive
165,54.8337,EliteCommander,Aggressive
170,56.9485,EliteCommander,Aggressive
175,57.3866,EliteCommander,Aggressive
185,62.3623,EliteCommander,Aggressive
190,46.3986,EliteCommander,Aggressive
200,154.2873,EliteCommander,Aggressive
205,59.0802,EliteCommander,Aggressive
210,55.0798,EliteCommander,Aggressive
220,64.0002,EliteCommander,Aggressive
225,67.3192,EliteCommander,Aggressive
235,60.4128,EliteCommander,Aggressive
240,58.9456,EliteCommander,Aggressive
245,59.2508,EliteCommander,Aggressive
255,64.8438,EliteCommander,Aggressive
260,52.5228,EliteCommander,Aggressive
270,56.4141,EliteCommander,Aggressive
275,91.1709,EliteCommander,Aggressive
280,59.6023,EliteCommander,Aggressive
290,90.5837,EliteCommander,Aggressive
295,78.9027,EliteCommander,Aggressive
305,76.8831,EliteCommander,Aggressive
310,91.5485,EliteCommander,Aggressive
315,87.9981,EliteCommander,Aggressive
325,91.1777,EliteCommander,Aggressive
330,131.9413,EliteCommander,Aggressive
340,118.9602,EliteCommander,Aggressive
345,106.0729,EliteCommander,Aggressive
350,96.2636,EliteCommander,Aggressive
360,104.2102,EliteCommander,Aggressive
365,180.9279,EliteCommander,Aggressive
375,72.4153,EliteCommander,Aggressive
380,72.1396,EliteCommander,Aggressive
385,86.9226,EliteCommander,Aggressive
395,86.5909,EliteCommander,Aggressive
400,68.4970,EliteCommander,Aggressive
410,73.3337,EliteCommander,Aggressive
415,75.2770,EliteCommander,Aggressive
420,74.6037,EliteCommander,Aggressive
430,286.3987,EliteCommander,Aggressive
435,184.1813,EliteCommander,Aggressive
445,83.9898,EliteCommander,Aggressive
450,74.0657,EliteCommander,Aggressive
455,76.3781,EliteCommander,Aggressive
465,96.7690,EliteCommander,Aggressive
470,121.6117,EliteCommander,Aggressive
480,77.7940,EliteCommander,Aggressive
485,57.6666,EliteCommander,Aggressive
490,55.1368,EliteCommander,Aggressive
495,63.5351,EliteCommander,Aggressive
500,69.5992,EliteCommander,Aggressive
505,160.8058,EliteCommander,Aggressive
510,838.8220,EliteCommander,Aggressive
515,58.2634,EliteCommander,Aggressive
520,64.8488,EliteCommander,Aggressive
525,48.9050,EliteCommander,Aggressive
530,64.0100,EliteCommander,Aggressive
535,54.6732,EliteCommander,Aggressive
540,55.8118,EliteCommander,Aggressive
545,55.3441,EliteCommander,Aggressive
550,62.3440,EliteCommander,Aggressive
555,53.8422,EliteCommander,Aggressive
560,55.8072,EliteCommander,Aggressive
565,58.5874,EliteCommander,Aggressive
570,64.4051,EliteCommander,Aggressive
575,52.8538,EliteCommander,Aggressive
580,62.6517,EliteCommander,Aggressive
585,53.9946,EliteCommander,Aggressive
590,62.7515,EliteCommander,Aggressive
595,48.9987,EliteCommander,Aggressive
600,61.7939,EliteCommander,Aggressive
605,54.9442,EliteCommander,Aggressive
610,53.0888,EliteCommander,Aggressive
615,55.3491,EliteCommander,Aggressive
620,73.5363,EliteCommander,Aggressive
625,76.4129,EliteCommander,Aggressive
630,57.0321,EliteCommander,Aggressive
635,55.6110,EliteCommander,Aggressive
640,64.1118,EliteCommander,Aggressive
645,50.5522,EliteCommander,Aggressive
650,65.3577,EliteCommander,Aggressive
655,47.8308,EliteCommander,Aggressive
660,62.1346,EliteCommander,Aggressive
665,49.2045,EliteCommander,Aggressive
670,64.7487,EliteCommander,Aggressive
675,51.3351,EliteCommander,Aggressive
680,57.9012,EliteCommander,Aggressive
685,53.7592,EliteCommander,Aggressive
690,54.9491,EliteCommander,Aggressive
695,56.4121,EliteCommander,Aggressive
700,54.5607,EliteCommander,Aggressive
705,54.9908,EliteCommander,Aggressive
710,54.1580,EliteCommander,Aggressive
715,48.1627,EliteCommander,Aggressive
720,63.2302,EliteCommander,Aggressive
725,49.0998,EliteCommander,Aggressive
730,60.7716,EliteCommander,Aggressive
735,227.9392,EliteCommander,Aggressive
740,239.8202,EliteCommander,Aggressive
745,47.7060,EliteCommander,Aggressive
750,54.6658,EliteCommander,Aggressive
755,51.4236,EliteCommander,Aggressive
760,52.7518,EliteCommander,Aggressive
765,50.2817,EliteCommander,Aggressive
770,55.8726,EliteCommander,Aggressive
775,79.6811,EliteCommander,Aggressive
780,60.1508,EliteCommander,Aggressive
785,46.6727,EliteCommander,Aggressive
790,56.5709,EliteCommander,Aggressive
795,48.8339,EliteCommander,Aggressive
800,54.9593,EliteCommander,Aggressive
805,46.3501,EliteCommander,Aggressive
810,56.0125,EliteCommander,Aggressive
815,40.5482,EliteCommander,Aggressive
820,63.3801,EliteCommander,Aggressive
825,49.1831,EliteCommander,Aggressive
830,46.9087,EliteCommander,Aggressive
835,53.7631,EliteCommander,Aggressive
840,66.5290,EliteCommander,Aggressive
845,49.6963,EliteCommander,Aggressive
850,50.0884,EliteCommander,Aggressive
855,56.9547,EliteCommander,Aggressive
860,56.2479,EliteCommander,Aggressive
865,41.4808,EliteCommander,Aggressive
870,65.7757,EliteCommander,Aggressive
875,55.1078,EliteCommander,Aggressive
880,57.0311,EliteCommander,Aggressive
885,41.0579,EliteCommander,Aggressive
890,61.6712,EliteCommander,Aggressive
895,48.4988,EliteCommander,Aggressive
900,46.8654,EliteCommander,Aggressive
10,64.5031,EliteCommander,Aggressive
20,48.5024,EliteCommander,Aggressive
30,277.3620,EliteCommander,Aggressive
40,53.6092,EliteCommander,Aggressive
50,75.9084,EliteCommander,Aggressive
60,51.7100,EliteCommander,Aggressive
70,37.6580,EliteCommander,Aggressive
80,54.1579,EliteCommander,Aggressive
90,38.3314,EliteCommander,Aggressive
100,52.7673,EliteCommander,Aggressive
110,230.0340,EliteCommander,Aggressive
120,56.3920,EliteCommander,Aggressive
130,52.3034,EliteCommander,Aggressive
140,38.4531,EliteCommander,Aggressive
145,52.4480,EliteCommander,Aggressive
150,52.7683,EliteCommander,Aggressive
160,39.5178,EliteCommander,Aggressive
165,54.0385,EliteCommander,Aggressive
175,40.9187,EliteCommander,Aggressive
180,53.5109,EliteCommander,Aggressive
185,63.7118,EliteCommander,Aggressive
195,47.4277,EliteCommander,Aggressive
200,57.7304,EliteCommander,Aggressive
205,61.1512,EliteCommander,Aggressive
210,29.8999,EliteCommander,Aggressive
215,62.0572,EliteCommander,Aggressive
220,54.2531,EliteCommander,Aggressive
225,53.6874,EliteCommander,Aggressive
230,46.2908,EliteCommander,Aggressive
235,73.2633,EliteCommander,Aggressive
240,54.6159,EliteCommander,Aggressive
245,41.5130,EliteCommander,Aggressive
250,60.7823,EliteCommander,Aggressive
255,47.0866,EliteCommander,Aggressive
260,54.2332,EliteCommander,Aggressive
265,45.0396,EliteCommander,Aggressive
270,64.2918,EliteCommander,Aggressive
275,46.7446,EliteCommander,Aggressive
280,54.7320,EliteCommander,Aggressive
285,52.6376,EliteCommander,Aggressive
290,54.3461,EliteCommander,Aggressive
295,52.9544,EliteCommander,Aggressive
300,53.2180,EliteCommander,Aggressive
305,54.9284,EliteCommander,Aggressive
310,52.5851,EliteCommander,Aggressive
315,43.4385,EliteCommander,Aggressive
320,60.2032,EliteCommander,Aggressive
325,52.1847,EliteCommander,Aggressive
330,62.5206,EliteCommander,Aggressive
335,48.0543,EliteCommander,Aggressive
340,60.5488,EliteCommander,Aggressive
345,51.5378,EliteCommander,Aggressive
350,59.8130,EliteCommander,Aggressive
355,52.9576,EliteCommander,Aggressive
360,63.4074,EliteCommander,Aggressive
365,53.9168,EliteCommander,Aggressive
370,61.7814,EliteCommander,Aggressive
375,52.6839,EliteCommander,Aggressive
380,64.2458,EliteCommander,Aggressive
385,54.4933,EliteCommander,Aggressive
390,86.1864,EliteCommander,Aggressive
395,52.2327,EliteCommander,Aggressive
400,61.0163,EliteCommander,Aggressive
405,54.7187,EliteCommander,Aggressive
410,61.5479,EliteCommander,Aggressive
415,53.5154,EliteCommander,Aggressive
420,60.9549,EliteCommander,Aggressive
