Episode,Reward,Steps,WinRate
240,6785.00,670,0.93
241,2810.10,1069,0.94
242,5521.00,815,0.94
243,6914.80,682,0.94
244,8651.60,529,0.94
245,6924.00,685,0.94
246,2118.30,1152,0.94
247,4117.60,954,0.94
248,2938.90,1051,0.94
249,8498.60,534,0.94
250,6649.20,693,0.94
251,4909.00,880,0.94
252,6636.10,714,0.94
253,4199.40,926,0.94
254,7103.70,673,0.94
255,6437.10,729,0.94
256,8435.90,531,0.95
257,8386.40,546,0.95
258,9774.70,423,0.96
259,6310.80,737,0.96
260,7442.60,649,0.96
261,9154.60,484,0.96
262,-27.00,1250,0.95
263,5999.70,753,0.95
264,9395.00,450,0.95
265,7500.80,662,0.96
266,6617.40,716,0.96
267,3302.00,1030,0.96
268,7837.60,594,0.97
269,1817.30,1172,0.97
270,8193.50,560,0.97
271,6738.00,680,0.97
272,4503.00,915,0.97
273,7537.00,625,0.97
274,2688.40,1086,0.97
275,5393.20,823,0.97
276,8585.90,521,0.97
277,7611.90,631,0.97
278,9096.00,470,0.97
279,7201.70,653,0.97
280,1666.30,1177,0.97
281,9169.70,463,0.97
282,7581.00,620,0.97
283,8660.20,528,0.97
284,6232.10,754,0.97
285,5438.70,828,0.98
286,4134.40,951,0.98
287,7189.50,655,0.98
288,8308.10,544,0.98
289,8958.20,498,0.98
290,7521.60,639,0.98
291,4641.80,907,0.98
292,3320.30,1032,0.99
293,5910.40,796,0.99
294,4615.60,924,0.99
295,3861.70,988,0.99
296,6382.60,749,0.99
297,8469.90,551,0.99
298,5550.80,807,0.99
299,10088.30,392,0.99
300,4536.40,916,0.99
301,6343.70,758,0.99
302,3472.80,1032,0.99
303,6760.70,673,0.99
304,1728.90,1181,0.99
305,7601.10,614,0.99
306,8756.60,519,0.99
307,4961.10,879,0.99
308,5731.60,789,0.99
309,7511.80,632,0.99
310,7930.50,605,0.99
311,5535.30,837,0.99
312,6130.10,759,0.99
313,7360.80,647,0.99
314,9782.30,427,0.99
315,5814.00,790,0.99
316,4767.10,884,0.99
317,7790.20,618,0.99
318,4336.30,932,0.99
319,7841.00,595,0.99
320,9951.50,410,0.99
321,6775.40,676,0.99
322,8880.90,496,0.99
323,8127.80,552,0.99
324,5351.50,845,0.99
325,9021.20,483,0.99
326,7041.10,674,0.99
327,7452.60,624,0.99
328,1757.20,1178,0.99
329,9476.30,447,0.99
330,8264.20,558,0.99
331,8908.70,508,0.99
332,4824.60,879,0.99
333,2870.50,1095,0.99
334,7227.90,656,0.99
