Step,ElapsedMs,BotType,Difficulty
2,847.1393,Rusher,Aggressive
3,4.5862,Rusher,Aggressive
4,11.9874,Rusher,Aggressive
5,13.6230,Rusher,Aggressive
6,13.6145,Rusher,Aggressive
7,30.0742,Rusher,Aggressive
8,28.9741,Rusher,Aggressive
9,30.0124,Rusher,Aggressive
10,13.3739,Rusher,Aggressive
11,13.4418,Rusher,Aggressive
12,11.6407,Rusher,Aggressive
13,13.7472,Rusher,Aggressive
14,13.2523,Rusher,Aggressive
15,13.7132,Rusher,Aggressive
16,13.6151,Rusher,Aggressive
17,12.9978,Rusher,Aggressive
18,13.5098,Rusher,Aggressive
19,13.4584,Rusher,Aggressive
20,13.2617,Rusher,Aggressive
21,13.1778,Rusher,Aggressive
22,12.7871,Rusher,Aggressive
23,13.8145,Rusher,Aggressive
24,13.7570,Rusher,Aggressive
25,12.9755,Rusher,Aggressive
26,13.4282,Rusher,Aggressive
27,13.6613,Rusher,Aggressive
28,13.5148,Rusher,Aggressive
29,13.1414,Rusher,Aggressive
30,13.6890,Rusher,Aggressive
31,12.6615,Rusher,Aggressive
32,12.9683,Rusher,Aggressive
33,12.9831,Rusher,Aggressive
34,13.4962,Rusher,Aggressive
35,13.8629,Rusher,Aggressive
36,13.3645,Rusher,Aggressive
37,13.0309,Rusher,Aggressive
38,13.7611,Rusher,Aggressive
39,13.4595,Rusher,Aggressive
40,7.9251,Rusher,Aggressive
41,13.4630,Rusher,Aggressive
42,12.9184,Rusher,Aggressive
43,13.6497,Rusher,Aggressive
44,13.6510,Rusher,Aggressive
45,13.0624,Rusher,Aggressive
46,13.3580,Rusher,Aggressive
47,13.6986,Rusher,Aggressive
48,13.4002,Rusher,Aggressive
49,13.3616,Rusher,Aggressive
50,13.0136,Rusher,Aggressive
51,13.7673,Rusher,Aggressive
52,12.9994,Rusher,Aggressive
53,13.2114,Rusher,Aggressive
54,12.3299,Rusher,Aggressive
55,13.7441,Rusher,Aggressive
56,13.5620,Rusher,Aggressive
57,12.9255,Rusher,Aggressive
58,13.7081,Rusher,Aggressive
59,13.1736,Rusher,Aggressive
60,13.5624,Rusher,Aggressive
61,12.9045,Rusher,Aggressive
62,13.2585,Rusher,Aggressive
63,13.2565,Rusher,Aggressive
64,13.5737,Rusher,Aggressive
65,12.9673,Rusher,Aggressive
66,13.3662,Rusher,Aggressive
67,13.5480,Rusher,Aggressive
68,13.5517,Rusher,Aggressive
69,13.1862,Rusher,Aggressive
70,13.5997,Rusher,Aggressive
71,13.7006,Rusher,Aggressive
72,13.1098,Rusher,Aggressive
73,13.1007,Rusher,Aggressive
74,13.7783,Rusher,Aggressive
75,13.4837,Rusher,Aggressive
76,13.3150,Rusher,Aggressive
77,12.0822,Rusher,Aggressive
78,13.4389,Rusher,Aggressive
79,13.6727,Rusher,Aggressive
80,13.6373,Rusher,Aggressive
81,13.2400,Rusher,Aggressive
82,12.9288,Rusher,Aggressive
83,13.5531,Rusher,Aggressive
84,14.0376,Rusher,Aggressive
85,12.7351,Rusher,Aggressive
86,13.5356,Rusher,Aggressive
87,13.8621,Rusher,Aggressive
88,13.4772,Rusher,Aggressive
89,13.3571,Rusher,Aggressive
90,13.5962,Rusher,Aggressive
91,13.4031,Rusher,Aggressive
92,13.1422,Rusher,Aggressive
93,13.1271,Rusher,Aggressive
94,13.6545,Rusher,Aggressive
95,13.7665,Rusher,Aggressive
96,13.4772,Rusher,Aggressive
97,13.5765,Rusher,Aggressive
98,13.5341,Rusher,Aggressive
99,13.5483,Rusher,Aggressive
100,13.7093,Rusher,Aggressive
