GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,-298490.00,-299300.50,0.00,0.22,393.00,0.00,0.00,0.00,10.00
1,-297630.00,-298493.70,0.00,0.18,507.00,0.00,0.00,0.00,6.00
2,-297325.00,-298309.00,0.00,0.20,515.00,0.00,0.00,0.00,5.00
3,-297325.00,-298166.50,0.00,0.23,573.00,0.00,0.00,0.00,4.00
4,-297325.00,-298047.00,0.00,0.22,932.00,0.00,0.00,0.00,4.00
5,-297105.00,-297959.50,0.00,0.18,823.00,0.00,0.00,0.00,3.00
6,-297105.00,-298008.30,0.00,0.21,877.00,0.00,0.00,0.00,3.00
7,-297105.00,-298088.70,0.00,0.22,719.00,0.00,0.00,0.00,3.00
8,-297105.00,-297940.20,0.00,0.21,956.00,0.00,0.00,0.00,3.00
9,-297105.00,-298031.20,0.00,0.17,828.00,0.00,0.00,0.00,3.00
10,-297005.00,-297934.00,0.00,0.22,878.00,0.00,0.00,0.00,3.00
11,-297005.00,-297921.50,0.00,0.22,960.00,0.00,0.00,0.00,3.00
12,-297005.00,-297839.50,0.00,0.22,1190.00,0.00,0.00,0.00,3.00
13,-297005.00,-297991.30,0.00,0.18,1069.00,0.00,0.00,0.00,3.00
14,-297005.00,-297908.80,0.00,0.50,1071.00,0.00,0.00,0.00,3.00
15,-297005.00,-297866.20,0.00,0.21,1068.00,0.00,0.00,0.00,3.00
16,-297005.00,-297926.50,0.00,0.21,1116.00,0.00,0.00,0.00,3.00
17,-297005.00,-297897.20,0.00,0.17,1117.00,0.00,0.00,0.00,3.00
18,-297005.00,-297996.20,0.00,0.21,940.00,0.00,0.00,0.00,3.00
19,-297005.00,-297801.00,0.00,0.22,1147.00,0.00,0.00,0.00,3.00
20,-296905.00,-297794.50,0.00,0.22,1131.00,0.00,0.00,0.00,3.00
21,-296905.00,-297890.80,0.00,0.21,932.00,0.00,0.00,0.00,3.00
22,-296905.00,-297961.00,0.00,0.21,922.00,0.00,0.00,0.00,3.00
23,-296905.00,-297866.20,0.00,0.18,1025.00,0.00,0.00,0.00,3.00
24,-296905.00,-298031.80,0.00,0.21,791.00,0.00,0.00,0.00,3.00
25,-296905.00,-297992.20,0.00,0.21,856.00,0.00,0.00,0.00,3.00
26,-296905.00,-297774.80,0.00,0.21,1150.00,0.00,0.00,0.00,3.00
27,-296905.00,-297788.00,0.00,0.17,1192.00,0.00,0.00,0.00,3.00
28,-296905.00,-297969.80,0.00,0.21,1023.00,0.00,0.00,0.00,3.00
29,-296905.00,-297870.00,0.00,0.21,987.00,0.00,0.00,0.00,3.00
30,-296905.00,-297854.20,0.00,0.21,966.00,0.00,0.00,0.00,3.00
31,-296880.00,-297753.70,0.00,0.22,1262.00,0.00,0.00,0.00,3.00
32,-296880.00,-297814.20,0.00,0.17,1175.00,0.00,0.00,0.00,3.00
33,-296880.00,-297817.20,0.00,0.21,1171.00,0.00,0.00,0.00,3.00
34,-296880.00,-297876.20,0.00,0.22,1004.00,0.00,0.00,0.00,3.00
