GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
48,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
49,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
50,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
51,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
52,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
53,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
54,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
55,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
56,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
57,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
58,-7995.00,14.96,0.00,0.97,40.00,5.95,16.35,13.50,9.90,24.17,7.33,30.02,26.36,0.00,0.00
59,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
60,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
61,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
62,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
63,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
64,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
65,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
66,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
67,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
68,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
69,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
70,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
71,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
72,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
73,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
74,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
75,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
76,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
77,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
