GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,239850.00,3.24,26.19,22.20,0.97,7.33,27.01,33.50,10.38,25.02,27.72,32.75,22.73,38.46,16.97
1,248550.00,15.90,30.36,21.07,0.00,11.30,19.79,27.43,2.67,27.81,35.46,36.14,21.03,33.80,5.89
2,249330.00,0.64,33.24,22.21,12.53,0.00,36.64,40.00,10.61,17.02,18.68,38.95,17.54,39.03,11.75
3,250990.00,0.00,40.00,22.48,0.00,7.88,16.25,27.85,15.61,10.16,19.84,21.25,37.50,17.79,5.50
4,250990.00,0.00,40.00,22.48,0.00,7.88,16.25,27.85,15.61,10.16,19.84,21.25,37.50,17.79,5.50
5,271030.00,0.00,3.23,34.96,0.00,0.00,23.81,32.39,13.59,20.63,28.49,40.00,24.64,29.24,0.00
6,271030.00,0.00,3.23,34.96,0.00,0.00,23.81,32.39,13.59,20.63,28.49,40.00,24.64,29.24,0.00
7,271030.00,0.00,3.23,34.96,0.00,0.00,23.81,32.39,13.59,20.63,28.49,40.00,24.64,29.24,0.00
8,271030.00,0.00,3.23,34.96,0.00,0.00,23.81,32.39,13.59,20.63,28.49,40.00,24.64,29.24,0.00
9,271430.00,0.00,3.23,29.89,0.00,3.02,20.32,32.67,14.47,22.52,7.52,28.19,22.86,37.50,17.95
