GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
73,-9755.00,-40214.50,1.00,0.62,391.00,0.00,0.00,11.00,13.00
74,-9755.00,-51497.00,0.95,0.25,1593.00,0.00,0.00,10.00,16.00
75,-9755.00,-31544.25,1.00,0.27,691.00,0.00,0.00,11.00,14.00
76,-9755.00,-37238.00,1.00,0.28,389.00,0.00,0.00,11.00,12.00
77,-9755.00,-34762.00,1.00,0.26,415.00,0.00,0.00,11.00,11.00
78,-9755.00,-36672.00,1.00,0.27,426.00,0.00,0.00,11.00,13.00
79,-9755.00,-34838.25,1.00,0.27,454.00,0.00,0.00,13.00,14.00
80,-9755.00,-38400.75,1.00,0.25,665.00,0.00,0.00,11.00,13.00
81,-9755.00,-43329.25,1.00,0.26,292.00,0.00,0.00,11.00,12.00
82,-9755.00,-44021.25,1.00,0.30,300.00,0.00,0.00,12.00,13.00
83,-9755.00,-41681.00,1.00,0.29,636.00,0.00,0.00,11.00,13.00
84,-9755.00,-30647.75,1.00,0.30,460.00,0.00,0.00,11.00,12.00
85,-9755.00,-42050.75,1.00,0.27,365.00,0.00,0.00,10.00,13.00
86,-9755.00,-38425.50,1.00,0.28,496.00,0.00,0.00,12.00,13.00
87,-9755.00,-66621.25,0.95,0.25,494.00,0.00,0.00,11.00,12.00
88,-9755.00,-43566.50,1.00,0.29,623.00,0.00,0.00,11.00,13.00
89,-9755.00,-28095.75,1.00,0.31,506.00,0.00,0.00,11.00,12.00
90,-9755.00,-46013.75,0.95,0.55,839.00,0.00,0.00,10.00,12.00
91,-9755.00,-31415.00,1.00,0.25,512.00,0.00,0.00,11.00,13.00
92,-9755.00,-43765.75,1.00,0.23,636.00,0.00,0.00,10.00,13.00
93,-9755.00,-35170.75,1.00,0.26,364.00,0.00,0.00,10.00,11.00
94,-9755.00,-33511.50,1.00,0.24,513.00,0.00,0.00,11.00,13.00
95,-9755.00,-43487.25,1.00,0.26,879.00,0.00,0.00,11.00,14.00
96,-9755.00,-38686.75,1.00,0.26,329.00,0.00,0.00,11.00,12.00
97,-9755.00,-43266.75,1.00,0.24,422.00,0.00,0.00,11.00,12.00
98,-9755.00,-40252.00,1.00,0.24,756.00,0.00,0.00,11.00,12.00
99,-9755.00,-39746.75,0.95,0.26,1116.00,0.00,0.00,10.00,12.00
