GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,2979810.00,4.39,35.38,20.43,33.84,5.06,36.95,37.83,37.39,13.78,5.94,23.75,0.75,30.31,21.36
1,3400170.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
2,3400170.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
3,3400170.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
4,3400170.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
