GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,1693970.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
1,2065770.00,22.71,21.76,24.61,29.62,36.21,38.25,15.18,34.78,39.13,13.38,16.32,1.78,11.48,11.79
2,2065770.00,22.71,21.76,24.61,29.62,36.21,38.25,15.18,34.78,39.13,13.38,16.32,1.78,11.48,11.79
3,2065770.00,22.71,21.76,24.61,29.62,36.21,38.25,15.18,34.78,39.13,13.38,16.32,1.78,11.48,11.79
4,2065770.00,22.71,21.76,24.61,29.62,36.21,38.25,15.18,34.78,39.13,13.38,16.32,1.78,11.48,11.79
5,2065770.00,22.71,21.76,24.61,29.62,36.21,38.25,15.18,34.78,39.13,13.38,16.32,1.78,11.48,11.79
6,2658070.00,16.47,16.97,35.00,30.77,0.00,11.59,20.88,39.54,8.76,8.26,0.92,12.41,40.00,15.06
7,2722190.00,12.67,27.12,31.35,28.26,0.00,19.74,22.96,40.00,15.09,7.47,1.59,1.18,40.00,27.77
8,2787710.00,15.13,34.52,28.69,26.44,0.00,25.69,24.41,40.00,19.71,0.00,8.36,0.00,40.00,6.32
9,2787710.00,15.13,34.52,28.69,26.44,0.00,25.69,24.41,40.00,19.71,0.00,8.36,0.00,40.00,6.32
